species,model_tag,model_label,annotation,layer,layer_num,test_auprc,validation_auprc,test_auroc,validation_auroc,test_logloss,validation_logloss,test_f1,validation_f1,n_train,n_validation,n_test,positive_mode
human,1m_model,1M,CDS,layer_024,24.0,0.958248197210942,0.9652545688330396,0.9880697116259792,0.9898254908279094,0.0765394419249007,0.0699702970501884,0.9100436681222708,0.914235959947758,72000,9000,9000,membership
human,8kb_model,8 kb,CDS,layer_024,24.0,0.9614342796061938,0.9680137766171936,0.9865281694676972,0.9900871945010185,0.07845574508551,0.0695760205199529,0.9013472403302912,0.9141370338248048,72000,9000,9000,membership
human,1m_model,1M,cCRE,layer_020,20.0,0.4358389686724437,0.4083296090104171,0.7758825646347988,0.7671220297402538,0.4797691865523464,0.4914100726095093,0.4579945799457994,0.4384849322643074,72000,9000,9000,membership
human,8kb_model,8 kb,cCRE,layer_017,17.0,0.4442052325409057,0.4059418274792485,0.7770237957765571,0.7746519585746489,0.4791452490423044,0.4849355659645035,0.4567188788128606,0.4487214737420951,72000,9000,9000,membership
human,1m_model,1M,repeat_DNA_transposon,layer_017,17.0,0.8830832605291852,0.8881715702349111,0.9654954605242676,0.9670570000839516,0.1350221547796354,0.1322653592209113,0.8131337518107195,0.7994296577946768,72000,9000,9000,membership
human,8kb_model,8 kb,repeat_DNA_transposon,layer_017,17.0,0.880728951459656,0.8852974151592445,0.9620547354145262,0.9657013311180572,0.1389413917253404,0.1342621469288689,0.8028639618138425,0.8024632875414496,72000,9000,9000,membership
human,1m_model,1M,repeat_LINE,layer_016,16.0,0.90388085081918,0.9039875228826264,0.9729059045777064,0.9748784263341989,0.1292063636910768,0.1279729093992598,0.8380221653878943,0.8315288003464704,72000,9000,9000,membership
human,8kb_model,8 kb,repeat_LINE,layer_016,16.0,0.8983996423273394,0.9059159367825484,0.9680833455150624,0.9734067130937976,0.1358921025830789,0.1284069844892898,0.8325561678677406,0.8316745997403722,72000,9000,9000,membership
human,1m_model,1M,repeat_LTR,layer_017,17.0,0.9271064838910044,0.917311732260258,0.9781860294268911,0.9739597839435754,0.1033690784374677,0.1096970414113168,0.8654646324549237,0.8583609663666508,72000,9000,9000,membership
human,8kb_model,8 kb,repeat_LTR,layer_017,17.0,0.9223261079375116,0.9242549810677532,0.9744290963609216,0.9767451953990356,0.1092664368056174,0.1062869701636755,0.8576692768309535,0.8554216867469879,72000,9000,9000,membership
human,1m_model,1M,repeat_SINE,layer_017,17.0,0.9602982293100368,0.947491694346734,0.984514298535831,0.9801021525260414,0.085243782949348,0.091268489925057,0.9052273693157672,0.9009086975335352,72000,9000,9000,membership
human,8kb_model,8 kb,repeat_SINE,layer_021,21.0,0.957019655945726,0.9417842119458174,0.984104746216611,0.977840945725216,0.087150133573716,0.0981379360227043,0.9002557544757033,0.889943892965041,72000,9000,9000,membership
